Region,Subregion,UNODC Name,2013,2014,2015,2016
Africa,Western Africa,Niger,,,,
Africa,Western Africa,Nigeria,,,9.848349858305813,
Africa,Western Africa,Saint Helena,,,,
Africa,Western Africa,Senegal,,,7.375585213561546,
Africa,Western Africa,Sierra Leone,,,1.713411242879498,
Africa,Western Africa,Togo,,,8.999917767064565,
Americas,Caribbean,Anguilla,6.993496048674733,27.664430458537936,,
Americas,Caribbean,Antigua and Barbuda,,,,
Americas,Caribbean,Aruba,5.814685958502524,1.9268750903222698,,
Americas,Caribbean,Bahamas,31.544905100201465,32.184714092456474,37.741897124894656,28.400557367334855
Americas,Caribbean,Barbados,8.495304574367543,8.821920708576672,10.90715896656428,
Americas,Caribbean,British Virgin Islands,,,,
Americas,Caribbean,Cayman Islands,8.56589744907574,8.449942540390726,,
Americas,Caribbean,Cuba,5.905977366086564,5.244862067557845,5.4007213060287755,4.987686431129861
Americas,Caribbean,Curaçao,,,,
Americas,Caribbean,Dominica,,,,
Americas,Caribbean,Dominican Republic,19.238819697438924,17.39407202337456,,15.181704903205922
Americas,Caribbean,Grenada,5.665240914369884,7.5216246709289205,5.616767924510639,10.249319352019393
Americas,Caribbean,Guadeloupe,,,,
Americas,Caribbean,Haiti,,,,
Americas,Caribbean,Jamaica,42.11364934583582,35.114236569328604,42.06224794859492,47.0110584314125
Americas,Caribbean,Martinique,,,,
Americas,Caribbean,Montserrat,,,,
Americas,Caribbean,Puerto Rico,24.452906873191615,19.01804404850688,16.849369359952615,18.505871376072065
Americas,Caribbean,Saint Kitts and Nevis,,,,
Americas,Caribbean,Saint Lucia,18.78629169987476,19.272082121742876,,
Americas,Caribbean,Saint Vincent and the Grenadines,,,,36.4561687483139
Americas,Caribbean,Trinidad and Tobago,30.261494917848943,29.90048675039295,30.880263982142388,
Americas,Caribbean,Turks and Caicos Islands,12.081672103419114,5.927857968523075,,
Americas,Caribbean,United States Virgin Islands,,,,
Americas,Central America,Belize,28.763935254996646,34.97358499149829,33.12106165527376,37.59916780508591
Americas,Central America,Costa Rica,8.732787537653506,10.026116246196855,11.585215185492398,11.904981604537769
Americas,Central America,El Salvador,40.20300196279599,62.42448682884721,105.441951639277,82.84225749989535
Americas,Central America,Guatemala,33.68125110363322,31.387455530512995,29.39868249847454,27.255019075076326
Americas,Central America,Honduras,74.27996883729499,66.87314739472843,57.45004173162996,56.51570309112144
Americas,Central America,Mexico,18.82141234791231,16.108309665951815,16.492051386474177,19.263960096300945
Americas,Central America,Nicaragua,9.990334267502469,8.72963521598032,8.615537398255682,7.367124637274821
Americas,Central America,Panama,17.27254301332148,14.549232502370653,11.26157618229544,9.669590585567596
Americas,Northern America,Bermuda,7.965461757818101,6.41210605623417,6.45130074351241,12.960124935604378
Americas,Northern America,Canada,1.443746570570063,1.4632888081605342,1.6801248655448087,1.684104544800048
Americas,Northern America,Greenland,12.408267451341867,7.0944627718066045,7.095091970129662,5.313722156095902
Americas,Northern America,Saint Pierre and Miquelon,,,,
Americas,Northern America,United States of America,4.537982773197497,4.45803047732347,4.964536493237837,5.353325095113242
Americas,South America,Argentina,,7.507878677612922,6.534191707012096,5.942564450750006
Americas,South America,Bolivia (Plurinational State of),8.96131098210584,8.91863112456459,6.2565823488851215,6.300191217232209
Americas,South America,Brazil,26.759234260325417,27.956576132642752,28.38337622763115,29.527956498051683
Americas,South America,Chile,3.1838777592509686,3.6221603086398515,3.006302933661872,3.462782803516766
Americas,South America,Colombia,32.568713828983434,27.918950552113305,26.502893080441297,25.504326148187612
Americas,South America,Ecuador,11.014237610116037,8.24366954090495,6.53478662032481,5.853766682166838
Americas,South America,French Guiana,,,,
Americas,South America,Guyana,20.44636391098049,19.51812500245614,19.388065799712173,18.37077607990408
Americas,South America,Paraguay,9.34154481930916,8.82094758342663,9.293401729958449,
Americas,South America,Peru,6.585810062489621,6.702535346995356,7.161371580815569,7.665964527280769
Americas,South America,Suriname,,,,
Americas,South America,Uruguay,7.629096788296966,7.837297699753124,8.538410608377784,7.6942704571488365
Americas,South America,Venezuela (Bolivarian Republic of),,61.90957766216552,,56.33331991279179
Asia,Central Asia,Kazakhstan*,6.50888168869681,5.169324246377999,4.8057291051631,
Asia,Central Asia,Kyrgyzstan,3.6243307303835737,3.7405408475719217,5.182936341436843,4.485384601066534
Asia,Central Asia,Tajikistan,,,,
Asia,Central Asia,Turkmenistan,,,,
Asia,Central Asia,Uzbekistan,,,,
Asia,Eastern Asia,China,0.7694570603663045,0.7253380801295041,0.6585405846032124,0.615600711867487
Asia,Eastern Asia,"China, Hong Kong Special Administrative Region",0.8673062070727142,0.3752833910829608,0.3036283169840986,0.38324208293714546
Asia,Eastern Asia,"China, Macao Special Administrative Region",0.17365904824422018,0.0,0.16640541017269553,0.16363034203977658
Asia,Eastern Asia,"China, Taiwan Province of China",0.7197987237111725,,0.8175168309470997,
Asia,Eastern Asia,Democratic People's Republic of Korea###,,,4.39584137596396,
Asia,Eastern Asia,Japan,0.28835755588759104,0.3082015803437865,0.283649243315243,0.2835233106600316
Asia,Eastern Asia,Mongolia,7.14508033335808,7.28480082738921,6.180974222314191,5.65592151830071
Asia,Eastern Asia,Republic of Korea,0.6816925796885669,0.7383067688440894,0.7214342381462722,0.701114184271391
Asia,South-Eastern Asia,Brunei Darussalam,0.4929556635676187,,,
Asia,South-Eastern Asia,Cambodia,,,,
Asia,South-Eastern Asia,Indonesia,0.5499295937361798,0.5005269525807272,0.5775440798317296,0.495067928676664
Asia,South-Eastern Asia,Lao People's Democratic Republic,,,7.009982055748475,
Asia,South-Eastern Asia,Malaysia,2.1106332694241208,,,
Asia,South-Eastern Asia,Myanmar,2.406304003351255,2.3688384729874032,2.198319358135019,2.2653098527122006
Asia,South-Eastern Asia,Philippines*,9.294175552506395,9.746034776900967,9.480284287407496,11.019828237804118
Asia,South-Eastern Asia,Singapore,0.3171146595205189,0.25695890603049515,0.25292389050418934,0.3205579360741939
Asia,South-Eastern Asia,Thailand,4.246947213190366,3.8718576199414962,3.4766726480389645,3.239437244438703
Asia,South-Eastern Asia,Timor-Leste,,,3.9485018658685855,
Asia,South-Eastern Asia,Viet Nam,,,,
Asia,Southern Asia,Afghanistan,,,,
Asia,Southern Asia,Bangladesh,2.7879443928149046,2.831775728079871,2.503087979305523,
Asia,Southern Asia,Bhutan,3.1374148486001245,,1.5240301453162743,1.1292913069664727
Asia,Southern Asia,India,3.588249343584735,3.6600579537205844,3.390616481682444,3.2236994089426676
Asia,Southern Asia,Iran (Islamic Republic of),2.6305803558745184,2.4690384365518083,,
Asia,Southern Asia,Maldives,0.7549125937035257,,,
Asia,Southern Asia,Nepal,2.1654217873591537,1.9701135191414005,,2.1637791867412113
Asia,Southern Asia,Pakistan,7.66980406614082,7.155089094575484,5.008963092205796,4.408395265532157
Asia,Southern Asia,Sri Lanka*,3.015506278902763,2.6813988115730143,2.35106237122261,2.549542910250317
Asia,Western Asia,Armenia,2.1772871624038492,2.4774449284637776,2.5711787997737363,2.9781257689212657
Asia,Western Asia,Azerbaijan,2.354748008399951,2.483224816759579,,2.1412517481827824
Asia,Western Asia,Bahrain,0.38010933464901847,0.5237964467145616,,
Asia,Western Asia,Cyprus,1.0490464168071223,0.9546050581918565,1.292006356671275,1.1108676696833275
Asia,Western Asia,Georgia,,2.705176354955207,,0.989617039520534
Asia,Western Asia,Iraq**,9.854457134956037,,,
Asia,Western Asia,Iraq (Central Iraq)**,11.110767518972935,10.081194260557298,,
Asia,Western Asia,Iraq (Kurdistan Region)**,2.1960769962711524,,,
Asia,Western Asia,Israel,,1.4858973856894735,1.3639947786279876,
Asia,Western Asia,Jordan,1.7115423563944647,1.9978872342497809,1.7359401404168135,1.547627698070089
Asia,Western Asia,Kuwait,,,,
Asia,Western Asia,Lebanon,4.472999195239213,4.2832063154449385,3.9477198841523657,3.9931018231449427
Asia,Western Asia,Oman,2.6135119646308307,0.6564123279284511,,
Asia,Western Asia,Qatar,0.3999159287847488,0.3790400935976338,,
Asia,Western Asia,Saudi Arabia,,,1.4956993573309423,
Asia,Western Asia,State of Palestine,0.5436451953996744,0.7713626120541938,0.9650679708094819,0.6882407764890945
Asia,Western Asia,Syrian Arab Republic,,,,
Asia,Western Asia,Turkey,,,,
Asia,Western Asia,United Arab Emirates,0.6328929101892761,0.6724825752598952,0.6554295455841417,0.8938111054500681
Asia,Western Asia,Yemen,6.658502344473141,,,
Europe,Eastern Europe,Belarus,3.513065120833615,3.584663586175471,,
Europe,Eastern Europe,Bulgaria,1.5001085170243738,1.6061710198285968,1.7973092191095488,1.1360420127971627
Europe,Eastern Europe,Czechia,0.8494989041936081,0.7642572184094278,0.8298941451156675,0.6126471022244482
Europe,Eastern Europe,Hungary,1.5647707910536162,1.4877714864518534,2.258807176056644,2.071499337889333
Europe,Eastern Europe,Poland#,0.7726552907270846,0.7364258693350701,0.7500282371257915,0.6701461702931678
Europe,Eastern Europe,Republic of Moldova,4.150331387998519,3.194151067129016,,
Europe,Eastern Europe,Romania#,1.6742905853892933,1.4920339406679186,1.4640315373523498,1.2488012519156713
Europe,Eastern Europe,Russian Federation##,10.977231246034481,11.310409114191991,11.48045670297852,10.816182395136124
Europe,Eastern Europe,Slovakia,1.3087243992309863,1.2700537343169072,0.8089249424284443,1.047459854722831
Europe,Eastern Europe,Ukraine,,6.338642687392,,
Europe,Northern Europe,Channel Islands,,,,
Europe,Northern Europe,Denmark,0.851393367326396,1.2888613774856044,0.9844085506429857,0.9806813823278484
Europe,Northern Europe,Estonia,3.934743787644904,3.1099268105273303,3.1931368844563415,
Europe,Northern Europe,Finland,1.6370477517632291,1.6118051540034035,1.4958137281405979,1.4177693761814747
Europe,Northern Europe,Iceland,0.30578327915872905,0.6089040032393693,0.9084219801782324,0.300447727203078
Europe,Northern Europe,Ireland,1.110644308257619,1.1096062668854867,0.6170072298354059,0.8020795982104674
Europe,Northern Europe,Isle of Man,2.4386377769378025,3.6324010170722847,1.2023999903808,0.0
Europe,Northern Europe,Latvia,2.4500388086147282,3.1744063488126972,3.3623347249384365,
Europe,Northern Europe,Lithuania,6.605870416843768,5.368273704979934,5.866450926796925,5.2468664376198
Europe,Northern Europe,Norway,0.9060288538675909,0.5641681991614904,0.4615530182105743,0.514305228495527
Europe,Northern Europe,Sweden,0.9048129496829359,0.897890638158742,1.1471219784986324,1.0777628684988174
Europe,Northern Europe,United Kingdom (England and Wales),0.9148660268258738,0.8901097036694156,0.9812489374481961,1.2176200579893155
Europe,Northern Europe,United Kingdom (Northern Ireland),1.0930604325786661,0.9236630520652563,1.24215484702323,0.9663959520992084
Europe,Northern Europe,United Kingdom (Scotland),1.1637291889558345,1.1593986087216694,1.0794714312302252,1.1841257574932362
Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,0.9328428920852381,0.9074733134400826,0.9923990490095277,1.2024106683055042
Europe,Southern Europe,Albania,4.2480621642232315,4.005786135529097,2.2576822770572957,2.6989264217312363
Europe,Southern Europe,Andorra,0.0,0.0,0.0,
Europe,Southern Europe,Bosnia and Herzegovina,1.2760059018046883,1.4021304530956515,1.6120087297342929,1.2753632191936157
Europe,Southern Europe,Croatia,1.0753175810216733,0.8455600931337467,0.8734622343258381,1.0446344771732645
Europe,Southern Europe,Gibraltar,,,,
Europe,Southern Europe,Greece,1.3514349058853665,0.9498677553275597,0.8290395621244808,0.7503513386151756
Europe,Southern Europe,Holy See,0.0,0.0,0.0,
Europe,Southern Europe,Italy,0.8413219816316954,0.7971715614566913,0.7881794989571494,0.6730631628183001
Europe,Southern Europe,Kosovo under UNSCR 1244,2.247683789265939,2.2505214622900427,1.665001665001665,1.5967404470873252
Europe,Southern Europe,Malta,1.653884502157138,1.4098738162934417,0.9354186934071691,
Europe,Southern Europe,Montenegro,1.5946572603150404,3.186367445521083,2.7062393143344723,4.455617435594846
Europe,Southern Europe,Portugal,1.367823509732539,0.8786030364520939,0.9598335571825162,0.6359328417919339
Europe,Southern Europe,San Marino,,,,
Europe,Southern Europe,Serbia,1.5918898815779663,1.3506346632282509,1.17497130358547,1.3942721396132982
Europe,Southern Europe,Slovenia,0.5807990730446794,0.8209209284132807,0.9639539075799551,0.4816398410935306
Europe,Southern Europe,Spain,0.6467148289333277,0.694297754041345,0.6508948381539208,0.6334845177892149
Europe,Southern Europe,The former Yugoslav Republic of Macedonia,1.0598634992164238,1.5884514764175126,,
Europe,Western Europe,Austria,0.7227975716799517,0.5212423637993703,0.5300359260655191,0.6552196498579759
Europe,Western Europe,Belgium#,1.838315736915317,1.8539710768033368,1.948982719610487,
Europe,Western Europe,France,1.2155835559048052,1.2338247829847087,1.577791129962345,1.3521868461983428
Europe,Western Europe,Germany,0.8392282452134857,0.8786390813263916,0.8346817461919084,1.1761928512473934
Europe,Western Europe,Liechtenstein,0.0,2.6934575915102217,0.0,0.0
Europe,Western Europe,Luxembourg,0.18358021813001518,0.7190158111576874,,
Europe,Western Europe,Monaco,0.0,,0.0,
Europe,Western Europe,Netherlands,0.7422935528716992,0.7282693312877057,0.6139859263798993,0.5533629041050345
Europe,Western Europe,Switzerland,0.7008764890858775,0.4981998580980989,0.6851151756737477,0.5363574421394876
Oceania,Australia and New Zealand,Australia,1.0582820091756073,1.0351584099080764,0.9916151376941653,0.9411560778163764
Oceania,Australia and New Zealand,New Zealand#,1.0182562273562505,0.98539426719513,,
Oceania,Melanesia,Fiji,2.1597903866593158,2.2578307213994937,,
Oceania,Melanesia,New Caledonia,,,,
Oceania,Melanesia,Papua New Guinea,,,,
Oceania,Melanesia,Solomon Islands,,,,
Oceania,Melanesia,Vanuatu,,,2.128923797160274,
Oceania,Micronesia,Guam,,,,
Oceania,Micronesia,Kiribati,,,,
Oceania,Micronesia,Micronesia (Federated States of),,,4.674645428169256,
Oceania,Micronesia,Nauru,,,,
Oceania,Micronesia,Palau,,,,
Oceania,Polynesia,American Samoa,5.424268175818613,5.411548243952595,7.20240560347156,5.397100677516039
Oceania,Polynesia,Cook Islands,,,,
Oceania,Polynesia,French Polynesia,,,,
Oceania,Polynesia,Niue,,,,
Oceania,Polynesia,Samoa,3.1453629486729184,,,
Oceania,Polynesia,Tonga,,,,
Oceania,Polynesia,Tuvalu,,,,
