Countries,Civilian held firearms,Population,Civilian held firearms (100 persons),Military held firearms,Law enforcement held firearms
Mexico,16809000,130223000,12.9,895285,591000
"Micronesia, Fed. Sts.",700,106000,0.7,,200
"Moldova, Republic of",121000,4055000,3.0,98600,21000
Monaco,7000,38000,19.6,,1000
Mongolia,242000,3052000,7.9,323400,7000
Montenegro,245000,626000,39.1,5396,8000
Montserrat,300,5000,5.4,,90
Morocco,1690000,35241000,4.8,588020,91000
Mozambique,1337000,29538000,4.5,60000,24000
Myanmar,877000,54836000,1.6,788900,76000
Namibia,396000,2569000,15.4,11880,15000
Nauru,0,10000,0.0,,60
Nepal,444000,29187000,1.5,183540,62000
Netherlands,442000,17033000,2.6,108676,96000
New Caledonia,115000,270000,42.5,,700
New Zealand,1212000,4605000,26.3,38280,13000
Nicaragua,323000,6218000,5.2,261800,8590
Niger,117000,21564000,0.5,11110,10000
Nigeria,6154000,191836000,3.2,224200,362400
Northern Ireland,206000,1873000,11.0,,13000
Northern Mariana Islands,1000,56000,2.6,,80
Norway,1537000,5331000,28.8,188646,13000
Oman,792000,4741000,16.7,118360,31000
Pakistan,43917000,196744000,22.3,2315480,944000
Palau,100,22000,0.5,,30
Palestinian Territories,56000,4952000,1.1,44410,33000
Panama,436000,4051000,10.8,,30000
Papua New Guinea,79000,7934000,1.0,7200,4800
Paraguay,1140000,6812000,16.7,235780,21000
Peru,633000,32166000,2.0,473400,142000
Philippines,3776000,103797000,3.6,454700,139043
Poland,968000,38564000,2.5,307200,188000
Portugal,2186000,10265000,21.3,333640,89000
Puerto Rico,422000,3679000,11.5,,26000
Puntland,246000,1995000,12.3,3600,8000
Qatar,390000,2338000,16.7,30680,5000
Réunion,171000,873000,19.6,,2000
Romania,506000,19238000,2.6,240180,251000
Russian Federation,17620000,143375000,12.3,30272900,2432000
Rwanda,66000,12160000,0.5,66500,14000
Saint Kitts and Nevis,2000,57000,3.4,,600
Saint Lucia,6000,188000,3.4,,1000
Saint Martin (France),3000,32000,8.5,,100
Saint Vincent and the Grenadines,4000,110000,3.4,,1000
Samoa,20000,196000,10.1,,400
San Marino,5000,32000,14.4,,300
São Tomé and Principe,7000,198000,3.4,570,100
Saudi Arabia,5468000,32743000,16.7,481350,214000
Scotland,305000,5436000,5.6,,2000
Senegal,323000,16054000,2.0,16320,6000
Serbia,2719000,6946000,39.1,384422,53100
Seychelles,4000,98000,4.1,798,200
Sierra Leone,35000,6733000,0.5,10200,12000
Singapore,20000,5785000,0.3,574140,9000
Sint Maarten (Netherlands),2000,40000,4.2,,300
Slovakia,355000,5432000,6.5,33150,43000
Slovenia,324000,2071000,15.6,131686,13000
Solomon Islands,1000,606000,0.2,,70
Somalia,1145000,9225000,12.4,37620,8000
Somaliland,456000,3823000,11.9,23750,4000
South Africa,5351000,55436000,9.7,350636,250481
South Sudan,1255000,13096000,9.6,351500,42000
Spain,3464000,46070000,7.5,333660,264196
Sri Lanka,494000,20905000,2.4,509700,134000
Sudan,2768000,42166000,6.6,590170,129000
Suriname,88000,552000,15.9,5985,2000
Swaziland,64000,1320000,4.8,5700,4000
Sweden,2296000,9921000,23.1,139180,38000
Switzerland,2332000,8454000,27.6,324484,34000
Syrian Arab Republic,1547000,18907000,8.2,655500,124000
Taiwan (Republic of China),10000,23405000,0.0,2022150,76000
Tajikistan,37000,8858000,0.4,56490,9000
"Tanzania, United Republic of Africa",427000,56878000,0.8,190050,37000
Thailand,10342000,68298000,15.1,1052815,230000
,3000,1237000,0.3,2527,4000
Togo,58000,7692000,0.8,12850,5000
Tonga,9000,108000,8.0,,200
Trinidad and Tobago,43000,1369000,3.2,7695,9000
Tunisia,123000,11495000,1.1,68020,73000
Turkey,13249000,80418000,16.5,1390180,620000
Turkmenistan,23000,5503000,0.4,184700,27000
Turks and Caicos Islands,1000,35000,3.3,,100
Tuvalu,100,10000,1.2,,26
Uganda,331000,41653000,0.8,116660,54000
Ukraine,4396000,44405000,9.9,6600000,289000
United Arab Emirates,1569000,9398000,16.7,163800,41000
"United Kingdom Combined civilian, military and law enforcement numbers for (England and Wales), (Northern Ireland) & (Scotland).",3242000,66186000,4.9,539680,43000
United States of America,393347000,326474000,120.5,4535380,1016000
Uruguay,1198000,3457000,34.7,62130,30000
Uzbekistan,127000,30691000,0.4,268400,150000
Vanuatu,11000,276000,3.9,,350
Venezuela,5895000,31926000,18.5,353300,173000
Vietnam,1562000,95415000,1.6,3829200,285000
Virgin Islands (U.K.),300,31000,0.8,,500
Virgin Islands (U.S.),18000,107000,16.6,,300
Yemen,14859000,28120000,52.8,28500,
Zambia,158000,17238000,0.9,41040,16000
Zimbabwe,455000,16338000,2.8,91580,23000
